valuation_date,expiry,maturity,spot,rate,dividend,strike,call_mid
2020-07-05,2021-01-15,0.5315068493,312.90500000,0.00100000,0.00000000,367.000000,1.9000000000
2020-07-05,2021-01-15,0.5315068493,312.90500000,0.00100000,0.00000000,368.000000,1.8100000000
2020-07-05,2021-01-15,0.5315068493,312.90500000,0.00100000,0.00000000,369.000000,1.7200000000
2020-07-05,2021-01-15,0.5315068493,312.90500000,0.00100000,0.00000000,370.000000,1.6400000000
2020-07-05,2021-01-15,0.5315068493,312.90500000,0.00100000,0.00000000,371.000000,1.5600000000
2020-07-05,2021-01-15,0.5315068493,312.90500000,0.00100000,0.00000000,375.000000,1.2900000000
2020-07-05,2021-01-15,0.5315068493,312.90500000,0.00100000,0.00000000,380.000000,1.0300000000
2020-07-05,2021-01-15,0.5315068493,312.90500000,0.00100000,0.00000000,385.000000,0.8200000000
2020-07-05,2021-01-15,0.5315068493,312.90500000,0.00100000,0.00000000,390.000000,0.6800000000
2020-07-05,2021-01-15,0.5315068493,312.90500000,0.00100000,0.00000000,395.000000,0.5500000000
2020-07-05,2021-01-15,0.5315068493,312.90500000,0.00100000,0.00000000,400.000000,0.4600000000
2020-07-05,2021-01-15,0.5315068493,312.90500000,0.00100000,0.00000000,405.000000,0.4000000000
2020-07-05,2021-01-15,0.5315068493,312.90500000,0.00100000,0.00000000,410.000000,0.3500000000
2020-07-05,2021-01-15,0.5315068493,312.90500000,0.00100000,0.00000000,415.000000,0.2900000000
2020-07-05,2021-01-15,0.5315068493,312.90500000,0.00100000,0.00000000,420.000000,0.2500000000
